"location","body","time","title","hash"
"pittsburgh","Good looking in shape open minded single male looking for COUPLE ONLY. NO MEN BY THEMSELVES. Available today/tonight fouronetwothreeeightninetwoonefivesix","2020-05-12","I'm looking for a couple - missed connections","2cdfd803b0c89fc97cf7cb732d0c6d91"
"newyork","real and serious.....big 8 1/2in hung latin str8 meat....sensual hands to massage...your choice. you just provide for papi. send pics, contact and info if serious. no games here. Real..can travel anywhere or host in the BX. Quiet, safe, and clean. hit me up with info. do not email without a face pic and contact number","2020-05-11","The only Raylicious - missed connections","8e86266789f72344d29f4095135cc3f8"
"newyork","Preffer older guys","2020-05-11","Latin Guy 44 I want to kick back feet up toes sucked - missed...","3f46b258e1d1b8c59674fb3445c67bfe"
"raleigh","Cute White, Asian or Latino female who likes to ease the aches and pains of an old man with a comfortable massage. Would be nice,missing my weekly therapy!","2020-05-11","Therapy Massage - missed connections","5704cb3306e66531e82ed62dbdbc173b"
"raleigh","I wasn\u2019t understanding what was happening then it all came together thank you wish I could find you to thank you for all your help","2020-05-11","Only you - missed connections","5387537da1fcd45feced16036fabcaa8"
"pittsburgh","Hello, I,am looking for a lady for a good time. Serious replys only. Please give me a description of yourself and your age. Thanks","2020-05-11","MALE LOOKING FOR FEMALE - missed connections","42a871539620e98bdb743ed9e053e408"
"raleigh","Why are you doing this to me? I love you beyond belief and would do anything for you. Don't you realize that? I will even die for you.","2020-05-11","Sammy Meachem - missed connections","2bd97acddd9f35671bb1b665a285ea7e"
"newyork","Looking for a mom that got away,  mature guy here , real","2020-05-11","Moms day - missed connections","83e6a582a7f50a775e2a086ef2d85dd0"
"raleigh","Ladies, ladies, ladies...Beautiful weather has everyone out walking, running, hiking,  and biking. All shapes and sizes.  Thank you. I love art and watching all of you is like visiting a mobile gallery of love.Sick of the stay at home quarantine and going stir crazy. Craving physical intimacy. A touch, a smile, a hug, a kiss and much more.Single and alone for so long I have forgotten how to do it and will ejaculate dust if and when that ever happens again.Pardon the descriptive language but I'm just a frustrated dude, not a creep, not a jerk, not a perv. Just a guy that's constantly bombarded with sexual imagery every which way I turn (none of which, unfortunately, directed towards me) and I feel lost and alone in today's dark dating scene.  Tinder, Match, Plenty of Fish etc. are all scams just trying to persuade us to part with our hard earned green. Surely there must be a lady out there somewhere that feels like I do. Someone desiring an honest, open monogamous physical relationship.  Tall, decent looking WM, late forties, with a fit, hwp muscular build. Calm, quiet, easygoing chill type.  Smart, safe and sane with a big sensitive heart and physical passion to match.Can someone help jumpstart my body and soul?","2020-05-11","Women - missed connections","deed3581134fb32f1af7103deb22bc0e"
"newyork","As a young boy all was up thru high school mom gave my front and rear a lot of attention. Always waxing  my carrot and ensuring my rear was nice and red !    And more too","2020-05-11","I miss my Mom - missed connections","6d3b08b5b2acd9bc3d513fddb73e5c93"
"newyork","you said you were a younger guy 30 or younger i forget but said that you want real love and a wife and someone to marry and a life partner.you said youre single never married and no children and that youre on disability and that you love animals message me","2020-05-11","You guy said looking for a wife - missed connections","10f2e763f2fa383343ab54a812e448fc"
"newyork","Hello, I'm an older man and I'm looking to have a platonic friendship with a younger woman. You know, like the kind Bill Murray had with ScarJo in Lost in Translation.  They were basically stuck inside that hotel together.  Well, you're stuck inside. I'm stuck inside. Let's pass the time by corresponding and getting to know one another. I look forward to hearing from you.","2020-05-11","Lost in Translation - missed connections","4a66dcb894a03ae68dca4634514b63a1"
"pittsburgh","Any bored females during the day want to chat with a sexy athletic trainer? Serious females only! Let\u2019s talk and see what could happen, possibly be your dom boy toy.","2020-05-11","Do you need a boy toy - missed connections","dd2a0d503e77ba2a776ae97fc139f7cf"
"raleigh","Looking to play again with a well dressed man...Zz top types need not apply (means no facial hair)...","2020-05-11","CD Play - missed connections","99ae5e9685ff6c08912ec57e0b938702"
"pittsburgh","Need some much needed tension release for this white guy around the house. Looking until the position is filled. Send credentials in first email. Be serious it you are going to respond. I ask that you actually will assist.","2020-05-11","Experience handyman - missed connections","5d120587b84e957fa57ee2317981c7cf"
"raleigh","I miss our fishing adventures.  Nice warm afternoons in the fresh air, sunny skies cool waters and friendship.  Some of our secret times shared and now missing.  I\u2019d like to Rekindle some of our mature natural longings.    M4W only,  mature lady who enjoys fishing and private picnics.Must be able to meet during the daytime and live in the General Raleigh area.  Cary, Apex, Garner, Wendell, etc.  must love being outdoors, race, and size body type no preference.  White late 50 yo male with nice firm fishing pole and tackle to share.","2020-05-10","Missing a fishing partner - missed connections","08e6f03b59facc2e93afa36af982224b"
"pittsburgh","I'm looking for a woman who fantasizes about being examined by a doctor. I'd like to make your fantasy come true. I can do any kind of exam you would like and will tailor this to fit whatever you'd like from the more mundane belly exam to more involved exams. Email me and talk to the doctor. For now, we can do a virtual exam. We can have an in person exam once things settle down","2020-05-10","Physical exam - missed connections","e4681812a2b51461598632f974784ad2"
"raleigh","Looking for the pawg/bbw that I used to connect with..curves in all the right places. I was the athletic, well equipped white guy that you kept secret from your husband. Looking to make new connections too","2020-05-10","Pawg - missed connections","b951895c8a54383dbd5f5af526ab13c0"
"newyork","You are a sexy dark hair, bearded guy around 30 years old. I usually see you near Nelson and Hylan in medical scrubs and a backwards hat. I have not seen you in several weeks. I am 38 6foot2 175 single. You are sexy af and think we may vibe. Message me if you see this or if anyone knows who I am possibly talking about.","2020-05-10","Sexy Bearded guy 26-32 near Nelson/Hylan - missed connections","d977adea547e6afd3992671014731f7d"
"newyork","MALE FOR MALE!!!LOOKING FOR SOMEONE WHOS DOWN TO QUARANTINE AND CHILL LOL..LAY UP AND EAT,PLAY XBOX,GET NASTY..VERY 420 FRIENDLY..WOULD LOVE TO MAKE A NIGHT OF THIS..PLEASE BE CUTE HEY FELLAZ  27 YO SEXY CHUBB WITH A BIG BOOTY LOOKING FOR THOSE CUTE DOWN TO EARTH 420 FRIENDLY DUDES,..IM TRYING TO HAVE AN ONGOING SITUATION WITH A FREAK LIKE MYSELF..IM 5\u20196 210LBS REAL THICK, FAT BUTT,BROWN SKIN NICE JIGGLY BOOTY AND NICE BIG NIPPLES, IM SHAPED LIKE A BBW..PLEASE BE DECENT WHEN HITTING ME UP..IM A CUTIE AND IM COOL AF..IF YOUR REAL DEFINITELY CONTACT ME SIXFOURSIX THREEFIVETWO TWOTWOFOURSEVEN..PLEASE NO GAMES ONLY SERIOUS DUDES","2020-05-10","FREAK NASTY CHUBB XXX-M4M - missed connections","ef397bdc8a461a67756cab983fc7424e"
"newyork","Anyone in search of like I sugar daddy kind of thing up 40 looking for twinks who top862 six eight four 6446","2020-05-10","Need twink top to spoil - missed connections","f8f04b5444008a4c2db65a3777b2e4f1"
"raleigh","68 year old senior man looking for an older senior buddy, preferably late 70s or older for mature friendship.  Once the wife departs, life must go on.  No one younger, thanks.  Must visit you for socializing  as older children live with me.  Sometimes quiet time is wonderful with no interruptions.  I'll bring the wine.","2020-05-10","Senior male searching Senior male - missed connections","c5c9a390253dadda0a84e5dfe6adc6a1"
"pittsburgh","Anyone bored looking for m4m fun? I bottom. I love giving head.Discretion will be expected, and respected.  I can NOT host. I am looking to travel to you.","2020-05-10","fun now - missed connections","c49eb0ab284e3973c95ef81db3d0036b"
"pittsburgh","I wonder how if i even dare ask how you and your kids are especially now.","2020-05-10","red up - missed connections","d33618ca2341af4edfb63ed08c0d9ba4"
"raleigh","Really craving the taste of a woman right now. I haven\u2019t done it in a while. Are you up for laying back and letting me enjoy you as you enjoy me? Up for more? White male for white female. I can come to you.  Ready now","2020-05-10","Missing that taste - missed connections","94144658075de1d32725f1615b831049"
"pittsburgh","cute girl looking for a little discreet pleasure on the side.","2020-05-10","discreet pleasure - missed connections","9b0932efd73dfe84c0980c82ce94e5d1"
"raleigh","I need her so bad... I\u2019ve been stuck away from her too long now, I need her and she needs to be punished.Send me pics of what I\u2019m missing so I can tell you everything I want to do to her....","2020-05-10","Make her mine! - missed connections","a6693ad60806f84e9f702c7dfa407cfa"
"pittsburgh","We used to meet once a week for mind-blowing fun three years ago, but then I moved away.I'm back in the south hills area and miss your tall muscular body and your big...If you see this, let me know what kind of car you drove so I know it's really you.I'm looking for sometime today...I'm on lockdown and bored and horny AF.If you're a college guy who plays ball and is DTF TONIGHT, hmu atfore won tofor won threeoh oh fore for","2020-05-09","missing my college linebacker - missed connections","cd2d35e4f98bb993df2296461e8e3584"
"raleigh","Saw you shopping at walmart today. You: Very sweet looking woman. Grey sweatpants, thin white button down shirt, and not much else. Just wanted to say I totally enjoyed the fantastic view. :)","2020-05-09","Garner Walmart 40/42 - missed connections","470ac6600af98f2f560c7de0bf71ca8a"
"pittsburgh","Bi-male...fifty...fit..talented at what i do. looking for a Couple in their 70's or older to play with. open to many things...from mild to wild. i can host or come to you. day times or evenings. i would like to please you both. i am clean, healthy, ddf...you be too. serious man here looking to meet and have some fun together.","2020-05-09","Senior Couples for fun. - missed connections","7733cf63dc5a4a618c967e2c699e4110"
"pittsburgh","I\u2019m a guy and Looking for the trim guys who weeded and spread mulch with $ few clothes then none last year.Hit me up if it\u2019s you or your buddy. Seven 2 four seven 0 seven 58 seventeen. Looking to do this when weather warmer but I\u2019m looking now.","2020-05-09","Male Landscaper(s) - missed connections","d99d5cbf0154b11f18f4d2cfbe277606"
"newyork","Would love to find a mom looking for a son to talk to. Send number very discreet here. Please put your age in the subline so i know you are real.","2020-05-09","Mom am i introuble? - missed connections","b443c15663eb5d4db81a8e9c606a24a8"
"pittsburgh","C\u2019mon dude! There's not been an actual girl posting there at cl since Bill Clinton was getting m! j from the Oval Office! Consider yourself warned because all you are going to come across for this forum right now are gay guys posing as ladies to trick you out of a m! k selfie, and shysters sending automatic replies tell you get verified to get your CLOSED CIRCUIT number. There is definitely still 1 eyesight which includes not really been blown by scammers and cat fisherman. The name is usually Flirt-Swap as well as its simple to find. Just search for Flirt-Swap and there it really is at the very top. Best part, earning it unlawful meant for the pigs and cheats to mess it up. Your better wager is to visit now just before it gets close up down like the rest of the good sites just before it.\u201c Please don\u2019t waste your time by sending reply by craigslist Use the mail given below.Available any time , Text me ::: '  kinkymom481  at gmai1\u201d","2020-05-09","Open minded Bigger girl looking for some entertaining - missed...","2e26c8ef2e805a4d675432cf14e1b721"
"newyork","I was looking for mother/daughter couples but you replied to me. Craigs's list email doesn't work now so I can't reach out to you. If you see this ad please write to me again.","2020-05-09","Looking for Lauren - missed connections","2e6e06082d3d5c719a792da7a80db237"
"pittsburgh","Any younger guys out there that can host and looking for an older m friend for fun?I am a male, mid 40's, you be 20's-40's.Please be serious and be able to host.","2020-05-09","looking for a friend - missed connections","32890c2749278bac7cd36d55af2cfc8f"
"newyork","Look for that MWF who wants to phone play today. Be hot and ready to play. Mature preferred","2020-05-09","Searching for my female phone fun friend - missed connections","b05f564c923ea6db054345337f330111"
"raleigh","There's nothing to do right now since every one is gone, anyone else bored like me and want to do some bad things together. Let me know;)","2020-05-09","Bored? Let~do~it!!! - missed connections","4bdf86f453abd9648c67c02b33154f17"
"raleigh","Fit athletic male looking for same to hang out during these lazy spring days.I might need a helping hand around the yard?","2020-05-09","WM Looking Friend - missed connections","6e3d554552a83bcccc663df89515e513"
"newyork","I know their are tons of crazies and crazies here, but i'm hoping this type of post finds its thanks to a minimum of one particular real gentleman \uf468\uf3fb\uf4bbI am even more a NETFLIX plus Evening chill girl compared to a celebration by the club chick also as need a man that likes a lady with a pleasant curvy butt! \uf608 Ive been informed my butt is my personal best asset!Do you want to FaceTime and see if we hit it off? i'm online today at P.E.E.P.L.I.F.T and have always been hoping some fresh and fun local men come and join me! PEEPLIFT is strictly what me and each my girlfriends use to hollar at guys. Only do an internet look for the websites name and you'll find this right at the highest . search for Gabby Adams and slide up in my personal DM! \uf48bI am waiting.. Lets enjoy!!","2020-05-09","'coffee Gal partner'at home - missed connections","9fd57151afba3ca1108c98ca7c4e3b97"
"raleigh","Can someone find me a female hole to hide inside . Been using my hand all my life . Don\u2019t care about age . Females only meaning no guys at all .","2020-05-08","College boy v card m4w - missed connections","bd5fb4d3761325f0c96b73b5c5847164"
"raleigh","Right off Mt pleasant and hwy 50. Anyone want to play with each other on the side of my house. Flying and wanting to. Let me know asap how fast you could be near that intersection. I'm 5'8 White in good shape.  Just want to play and satisfy each other. Right now before this mood wears off","2020-05-08","Willow Spring outdoor plumbing right now. 4 am - missed connections","d1222ffd23d3adc598c1d73d1ff41c8b"
"newyork","I am a woman but not getting enough what I need at home.Hoping to find a guy in the same situation. .","2020-05-08","Need a real Man - missed connections","b800ab8f488db96dd7a92d47b77c38f8"
"raleigh","Missing some personal connections. Any ladies interested? Love a curvy lady, secure with yourself and confidence is so sexy. Status, size and race irrelevant. Let me know what you are looking for, perhaps I can help","2020-05-08","Missing a connection, big beautiful ladies - missed connections","bd4d9a28f481b98bc7a4e9eafa7e3e7c"
"newyork","Total boredom during this lockdown :-)I'm a tall, good looking, sane 32 year old Swiss guy who is looking for some excitement via phone, maybe video or in person with social distance? :)You must be into accents.No guys, only looking for girls or couples.","2020-05-08","Looking for girl to cuddle or play - missed connections","c88314670f705865a07ccc5a4c837703"
"raleigh","Looking free time email From franklinton. I came to your ass multiple times and we had fun. Would enjoy seeing ya again","2020-05-08","Looking FREE TIME - missed connections","e45d6588c4f845f731a9fb016809cbf4"
"pittsburgh","Affordable dog grooming available in MonroevillePittsburgh Pet Concierge < search for us on google to get in touch!We are open!","2020-05-08","Does your dog need groomed with a nice haircut? - missed connections","70809ddc4f21c4af39cacaf76c6db53b"
"newyork","Hi...I am offering a free professional massage (females only). I can come to you, you to me or some place neutral.I've done this before and have never had a complaint. I can even if you want provide you with references from others who have received a massage from me.Whatever you desire: Swedish, deep tissue, sports, shiatsu, sensual, oil, lotion, powder, light , hard, soft, erotic, full body, partial body, scalp, kneading of the muscles, reflexology,Interested?Questions?Brian","2020-05-08","Free professional massage...females only - missed connections","82e5f59b24718877beced97fe1001efc"
"newyork","Alpha black top 9 inches ..  Kik Extraordinary718 for more details","2020-05-08","Any Gen bottoms with a bubble ? ! I TRAVEL - missed connections","84dd28aa31925b7110b1f1c2806a9c6b"
"newyork","Oh yea man its been years since I even have put over here ... does it even still work on meeting awesome guys, or just the common internet  weirdos & creepy \uf474\uf3fc old men? ROFLI within the morning a really confident girl, and wish a person which will handle me LOL miniature skirts and low cut tops are my jam LOL, and need a man which will worship my curves \uf608Should you be as uninterested as i'm and need to video chat come find me at PEEPLIFT , its the spot me and my girls employ to talk with locals.. If you're never already a member of the location just google the name and you discover it difficult to miss it.. Right within the very best! search for Davison Adams.. Thats me!Come and have some fun! XO","2020-05-08","Fem Phone a friend - missed connections","dbf99b8f982cd8e83bd7c8129f5e10ab"
"pittsburgh","Any girls between the age 21 and 30 wanna chat and get to know each other and see where it goes open to anything really","2020-05-08","Bored af - missed connections","099b3590b744dd665349c7dc796fe360"
"pittsburgh","hey man just looking to meet new black friends...saw you at circle k chestnut st.  If you see this email back","2020-05-08","Bored....saw you at circle k - missed connections","e68e190c48ef8a1180ca0c73552e1bdf"
"raleigh","Hi,It is so chilly outside, I need something to warm me up. I know with this quarantine that times are tough and toiletpaper is in short supply. I am a ddf swm seeking a ddf swf who will use me as her toilet. Nothing will warm me up like a nice warm mouthful of your pee. I will bring a funnel to avoid messes and will drink it all. The more you have to go, the better. I can come to you and am ready asap. I want nothing in return. Would like this to be a regular thing. Yes, this is real, I am serious. Email me if this interests you. Thanks!","2020-05-08","Nice and warm - missed connections","d8b893d413dead5f5c8ef591dee05902"
"newyork","My boyfriend is cheating on me at the moment. I want to repay him by sleeping with many men. Please, if you message me send a pic. No little guys if you know what I mean. I will send a picture as well. Satish23Reddy-at-gmail for direct message.","2020-05-08","Lonely Asian girl - missed connections","a3ebbe6ba29cdc31443b662e1333ab84"
"raleigh","You posted an ad yesterday about the new normal of trying to meet with the current situation. I didn\u2019t get to respond before ad was down. I am on the same page as you. Hope you get to respond.","2020-05-07","\u201cNew Normal\u201d Post - missed connections","2c68f5da8bc6c65edfbfb95de59b82f9"
"raleigh","Mature,white woman 60ish looking for a same mature single 60ish man to spend time with!To get out and enjoy doing things together!I have my own comfortable apartment and work so not looking for someone to take care of me.Just looking for companionship and good conversation and to just enjoy each others company.If interested you can email me here. Let's talk and find out if we connect....","2020-05-07","Missing Good Conversation to start... - missed connections","33566d89c24f3c79dc02430fc2d749db"
"newyork","I\u2019m that educated, intelligent late-30s woman looking for that cretin who doesn\u2019t use proper grammar or punctuation, has no idea what a clause is, can\u2019t tell you what an adverb is, and can\u2019t spell worth a damn. Bonus points if you want to get together in person during a pandemic that has claimed 70K+ lives in the US in the past two months!You know who you are. Holla at me.","2020-05-07","Missed connection with a moron - missed connections","019e5ec1386cfec543cc72b53ef5113d"
"newyork","Let's share some stories to get through these hard times. Tell me about your first time and I will do the same.","2020-05-07","Isolation Email. (m4m) - missed connections","6a7b0a0b655972299e0021a2c87c484f"
"raleigh","You hopped out of the passenger side of the vehicle and you looked my way. Just want to say thanks for the glimpse of that sexy behind on the way to the door.","2020-05-07","Blue Nissan SUV with UNCW sticker at Target - missed connections","5ef57635cdf87d01fe7e8509f71fef13"
"newyork","I would like to meet a young guy.Mostly interested in guys less than 25...I do like chubby, chub, cub guys.Twink and twinks alsoWhite, Asian, Indian, black guys, any ethnicityLets chat for now","2020-05-07","Dad is Looking for an ongoing young boyish secretfriend. - missed...","0c7c18b7fad18d6f1305434c6aef66ce"
"pittsburgh","im 27 and looking for a daddy that wants to have fun and help his girl out if thats you send me a message so we can talk","2020-05-07","looking for my daddy - missed connections","26f875a137865fe2990a0d309e8ab17b"
"newyork","Hi.   You posted a few years ago for a literary friend.   We wrote and spoke online.   You are amazing, and I\u2019d like to reconnect.I can provide details, including what we discussed, if I hear from you.Please get in touch if you\u2019re interested.","2020-05-07","Literary Friend - missed connections","20cc36052115443d98a99eaaf964a9c0"
"raleigh","I was behind you in line you was so sexy u had on blue shirt with white dots  blue jeans and feet's was pretty should have said something to you","2020-05-07","Walmart garner - missed connections","8d7d191438d73e6db16f3439c8dbffe0"
"raleigh","Older guy here usually the only one at my office during the day so times drags. Would like to find someone to correspond with by email or chat. Laid back guy who dosnt mind listening to others.","2020-05-07","Bored with social distancing - missed connections","01bc011710faa0c5d5379d229821a155"
"raleigh","Missing a certain spark.  Let's go for a walk and talk.  I am M, you F.","2020-05-07","Sparks? - missed connections","415badce860cdf8a37da84ade577d45e"
"raleigh","Like to get out today And go Durham.  To big lot. See. If any guyLike to get out side do something. Together iam Open mind iam a white maleYou be to i have a bat and ball Like to see your do somethingTogether can't host so u need Need too am Bi male m4guy","2020-05-07","A special friend Tomorrow - missed connections","66b2017399ece0ec5492de9698acddb3"
"newyork","Your daddy misses you!  Remember how we would drive to the beach and you would sit on daddy's lap in the car enjoying his touch..","2020-05-07","Missing my Hijab college girl - missed connections","4d6c6e35a25899f82408ae4437422e4b"
"pittsburgh","Our missed connection took place yesterday (Monday) in the early morning.I\u2019d prefer not to say which store this occurred, especially if I am so lucky to have you find this post and write me back.  So for that purpose I\u2019ll refer to it so Ferizon in this report.  It was a bit chilly out, with that weird sort of energy still in the air from everyone being quarantined.I happened to be off from work, so I decided to head to Ferizon and see about upgrading my phone since my screen was cracked and because I have had it for a long time.  After grabbing coffee, I parked and walked a short distance to to try and be one of the first in after they were set to open.  My to do list for the day was moderately long but I had a positive energy in my walk as I was getting an early head start on my agenda.  Walking with a smile and an upbeat stride, I meandered around the corner and saw you, and only you, pacing back and forth while sucking down on a cigarette.  Abiding by the distancing stuff, I stood back a good distance and kept to myself.  Personally I wasn\u2019t sure you even noticed me or that you were one for small talk.  But in fact you spoke to me right away and as it so happens I am attracted to that level of confidence.\u2018They think they can screw me, that they can just jack up my bill for no reason, and that I won\u2019t do actually won\u2019t do anything about it?  Biggest mistake they will ever make,\u2019 you said to me to break the ice.  \u2018They probably thought I\u2019d just stay home and not do anything about it and for that reason they severely miscalculated.\u2019\u2018I\u2019m sorry, what happened exactly?  I don\u2019t think I heard y-\u2019\u2018OHHH don\u2019t even get me started.  This goes back several years and let me assure you and anyone else listening that I WILL COME OUT WINNING.  These savages tripled my bill last month and said I didn\u2019t really have an unlimited plan.  BULLSHIT.  Nobody screws me over like this, I got papers and documents to prove it, right here.\u2019I didn\u2019t want to rile you up any further, I didn\u2019t think you needed the encouragement either.  But admittedly, I can attest the Ferizon has tried to F me in the B several times, whether it was by saying my unlimited plan had a limit, or by adding items onto my bill that I never authorized.\u2018Good for you for being organized.  I hope they do the right thing,\u2019 I said to you.\u2018They have no choice but to do the right thing.  And just between me and you, one doesn\u2019t play metal gear solid for 6 months and not learn a thing or too.  I promise that on the souls of my dea-\u2019\u2018Hey you guys can come in, we are open now,\u2019 the manager interjected.  \u2018It\u2019s just me here for the first hour so I will help him first and then you, cool?\u2019  I nodded in the affirmative as the both of us stepped inside.  Immediately, you started laying your case as you and the manger stationed yourselves by a standing desk.  I had no choice but to eavesdrop since it was so quiet inside.  You were being very colorful in your argument and made a compelling case.  Moreover, while I was really crossing my fingers that Ferizon would do the right thing, my logical side knew there was no hope.  After the manager looked at his computer screen for several minutes and made a quick phone call of some sort, he walked back towards you to pass down his verdict as you stood there with your arms crossed.\u2018Ok, so I just talked to my supervisor.  And it does look like you had an unlimited plan.  However, it was cancelled by us because you used too much data.  There is nothing I can do but before you snap, please know that I truly hate working here, for real.  I know you want to punch me in the face but I\u2019m just here because I need a job.  I hate these guys just as much as you do, no joke,\u2019 he offered in an effort to quell your anger.\u2018So that\u2019s it?  You just switched my plan on me and now I owe you an amount that\u2019s almost equal to one month\u2019s rent?  And you think, you really think that there won\u2019t be any repercussions?\u2019\u2018Societal repercussions don\u2019t exist in America anymore unless you say something mean about someone who is transgender.  If it\u2019s about the banks or whatever, studies show you\u2019re just gonna go home and drink.  I took an online webinar on this just last week.  The truth is, I could double your bill right now and there is still only a 5% chance you\u2019ll even switch providers.\u2019You stood there silent at a loss of words.  I too heard what he said and had difficulty doubting what he was saying.  Now it was your move.  He had used his word jazz and created a great posture of defense while disabling your reaction to Ferizon\u2019s inaction.  What were you going to do?  I had no idea.  But the overall tension of watching this unfold made really feel like getting my butthole licked from behind for some reason.\u2018My friend, you just made a BIG mistake.  I came here to offer you stupid bitches an olive branch, not thinking you would be stupid enough not to take it.  So you\u2019re not gonna reimburse me, ok, cool.  I asked and you said no because you are a corporate cuck, I get it.  If you excuse me, I am going to leave now,\u2019 you said while placing some sunglasses on your face and heading to the door.  Before you stepped out, you turned around to deliver one last comment.  \u2018Oh one last thing.\u2019\u2018What\u2019s that?\u2019 The manager asked.\u2018Enjoy this  ...power... of yours while it lasts,\u2019 you said before you hastily walked out.Whether it was my instinct or my ovaries, I reflexively followed you out of the store, having no idea what you were up to.  I hurried around the building to find you with no exact plan in mind whereupon I located you in the back of the building.  In a very cool way, you had cut open the electrical box, not even the slightest disturbed by my presence.\u2018Don\u2019t try to talk me out of this, it has to be done,\u2019 you said as you opened the box.With a newly lit cigarette in your mouth, you then took your dong (decently sized) out of your zipper hole and peed all on the wires and sockets inside as it began to spark and emit smoke while make a buzzing sound.  I could tell the building had already lost power.  What confused me was that it seemed risky for you to do this, not judicially, but physically since electricity is apolitical.  \u2018HEY ARENT YOU AFRAID OF GETTING ELECTROCUTED BY DOIN THIS?\u2019 I asked over the increasing sounds of the electrical boxes buzzing.\u2018NOT A CHANCE, THE MOST ILL GET IS 3 MONTHS AND MAYBE OH WAIT DID YOU MEAN-\u2019 And just as it dawned on you that your plan was not thought well through, surely enough a bolt of electricity arrived through your pee and sent your body up in the air and back until you were stopped by the brick wall of the adjacent building.  I could tell power had gone out in the area as I walked up to assess you.  You were laying on your side and out of it, with your dong still out.  Interestingly, it had darkened and was bigger in size due to the swelling and even though I should have been running away, the sight of it wanted me to get pregnant in the mouth.\u2018Hey are you ok??\u2019Unfortunately you were confused and saying weird things back to me.  \u2018Cell phone pee, for there.  I go up, but here in the pee and now the wall and the box.\u2019\u2018Say that again?\u2019\u2018I got the box, for my cell, now the pee got me.  The pee it boom, cause box.\u2019After you turned over I saw you had shit your pants so I tuned around want went home.Now I can\u2019t stop thinking about your dong.  So I\u2019m writing this to say I\u2019m sorry I left you and that I hope you are ok.Are you?  Want some soup?","2020-05-07","Guy who peed on electric box after cell phone store \u2018screwed you...","e07290f393b12e3e1e5e48f6f5875747"
"pittsburgh","Let me know your rate.","2020-05-06","M4f I'm in need of a massage - missed connections","fa3d123d1724e5e1dd80292ea0c6e8b3"
"newyork","I\u2019m looking for the beautiful dark hair woman shopping in the store on ave Z on 4/23 and got in the checkout line behind me.","2020-05-06","Sheepshead bay fruit market - missed connections","c6c208ecae58837af1f5ddb8a6b18d9c"
"pittsburgh","Just like the description said.... FEMALES or FAMILIES ONLY.... no single men. I'm a male here","2020-05-06","I paid and we hung out like naturists... it was so much fun!!!! -...","77d2cef2a8ed1a24f0efdadb24535c6e"
"raleigh","We met on here some time ago. You lived in Durham and let me worship your beautiful white feet. Lost your contact info, looking to reconnect again.","2020-05-06","Missing your feet- M4W - missed connections","66cea6073063f9a58e8cf9cf6dfa9680"
"newyork","Technically, yes, it is safe to have sex during coronavirus.  So far there is no proof it can be spread from junk to junk.  Still though, if you are making out during the act , then there is a better chance of passing it along. Performing any sort of mouth to junk stuff is also a bit sketchy because there has been coronavirus found in fecal matter and the closer you put your face to where the feces come out, the better the chance you might contract it.Visitorship to places such as Ifooku . com have sky rocketed during the coronavirus.  With an extremely large pool of people to choose from will come the urge to try and sleep with as many different  people from those sites as possible. Slow Down Tiger.  A sure fire way to make sure its safe to have sex during the coronavirus is to limit your partners to just one from those places until things get back to normal.","2020-05-06","Is It Safe to Have Sex During the Coronavirus - missed connections","96f0ed66e4135f62312fbc1d953e1689"
"newyork","I\u2019m the white chub bottom that you communicated with a few weeks ago. You said you wanted to get together, and looking for a older chub bottom for regular hookups. If you see this and are still interested, get back to me, or if there is someone looking for regular hookups, I would love to hear from you.","2020-05-06","M4M - missed connections","67c8c83c4a8f5806ac53f94799bbb502"
"raleigh","They were put there by a man in a factory down town lol i love that song its seeking a friend and more i can host and this could be a once in awhile thing if we connect. txt if youd like fiveone27eight fourzero sevennine sevenHappy trails","2020-05-06","Peaches come from a can-female - missed connections","876e6916e5968901e1bd59827860d720"
"raleigh","You've been in my dreams every night....  You're a mature, lovely, sexy lady who wants and needs attention and affection.  It's very likely (although not a requirement) that you're married, just as I am.  I'm a mature white male, and I'd like to give you what you have been missing for so long.  It makes little difference to me how old you are, or how much you weigh, or your race.  What I'm interested in is your desire for a meaningful, passionate relationship.If this is you, please reply.","2020-05-06","In my dreams - missed connections","39e9ef5f276d7e3de039c7ea5e88e3da"
"pittsburgh","Any females need some help with being out of work or something? If so send a reply lets try figure something out","2020-05-06","Any Ladies Need Help During This Time? - missed connections","72ba6c772ee4d8d71a92e6bb6421cfc4"
"newyork","Greetings! Indeed - I fully realize that this is an unusual place to be writing this, but I thought I would throw caution to the wind and post!! I\u2019m a successful, decent looking fella living and working in this great city. I have my life together. I also know what I\u2019m attracted to. And while my title only mentions a specific physical trait (yes, it\u2019s my weakness), I do also very much appreciate substance and good character! If you think you match what I seek, don\u2019t hesitate to write! Oh, and I\u2019m open to all ethnicities/backgrounds. Best of Luck!","2020-05-06","Handsome & Successful Wallstreeter Seeks Busty Beauty to Adore -...","73d8e311807875950dbdbbcc816e33e4"
"pittsburgh","Young swm looking for another m to get together with after work tomorrow, u must host","2020-05-06","in search of m - missed connections","46f3d27a2513aafe9ecf0186f5910382"
"newyork","Just looking for someone goofy and fun , someone I can chat with and hopefully hang out with one day lol. It isn't easy so hopefully this ad attracts some cool grls .please no dudes","2020-05-06","Kindahungg and fun lol Long haired scruffy white guy here \ud83e\udd23\ud83d\ude02\ud83e\udd23 -...","79536081055dbf6967a693be21206393"
